Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
"arracacha (colombia, brazil)",100g,Carbohydrates,168,0,0,42,6,6.993,42,1,1,80,4.178,10.219,1.479,90,7.348,1.557,20.76,81.581,1.174,311,1.031,56.024,436,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
arrowhead,100g,Carbohydrates,12,0.564,0.079,2.258,0,0,40,1,1,1.2,0,0.066,0.3,6.1,0.072,0,4.68,20.9,0,110.6,0,0.09,0.082,0,0.029,0.06,0,0.084,0.2,0.09,0.012,0.1,0,0,0,8.7,0.094
arrowroot,100g,Carbohydrates,78,0,0,19.5,1.6,0,40,1,1,7.2,0,0.1,2.7,30,0.2,0.083,35.2,117.6,0.1,544.8,0.094,0.061,0.052,0,0.2,0.4,0,0.06,2,0.4,0.3,2.3,0,0,0,0.097,0.8
arrowroot flour,100g,Carbohydrates,457,0,0,100,4.4,0,60,1,1,51.2,0,0.045,0.4,3.8,0.6,0.088,169.3,6.4,0.036,14.1,0.019,0,0.002,0,0.013,0.043,0,0,0,0.2,0.032,0,0,0,0,0,0.067
arroz con abichuelas,100g,Carbohydrates,223,6.211,5.41,37.367,4.1,0.2,50,1,1,23.6,0,0.2,1.9,33,0.7,1.1,78.5,117.8,2.5,304.6,0.8,0.071,0.6,0,0.045,0,0,0.072,1.3,0.3,0.069,0,0,0.4,0.046,0.106,1.1
arroz con frijoles,100g,Carbohydrates,220,0,0,55,5,1.3,50,1,1,54,0,0.2,2.3,38,0.6,1.3,109.3,127,2.3,327,1.1,0.069,0.6,0,0.2,0,0,0.024,1.5,0.4,0.071,0,0,0.7,0.096,0.096,1.1
arroz con grandules,100g,Carbohydrates,209,0,0,52.25,1.6,0,50,1,1,9.2,0,0.1,0.3,16.1,0.7,1.2,56.2,62.1,2.7,96.6,0.9,0,0.7,0,0.01,0,0,0.076,0.6,0.3,0.026,0,0,0.8,0.066,0.068,0.9
arroz con leche,100g,Carbohydrates,369,8.12,9.323,63.154,1.3,38.6,65,0,1,227.7,20.2,0.03,0.6,27.8,0.3,2.6,310,210,1.1,359.3,4.8,0.006,0.3,0,0.088,0,0.062,0.2,0.8,1.3,0.018,0,0,0.5,0,0.171,1.3
artichoke cooked,100g,Carbohydrates,64,2.995,0.342,12.235,10.3,1.2,35,1,1,0.035,0,25.2,0.2,0.7,50.4,0.077,28.845,0.3,0.2,87.6,0.059,343.2,0.087,0,0,0.017,0.1,0,0.1,1.3,0.3,0.028,8.9,0,0.2,0.101,0.074
artichoke raw,100g,Carbohydrates,60,3.471,0.165,11.157,6.9,1.3,35,1,1,0.045,0,56.3,0.3,1.6,76.8,0.019,25.274,0.3,0.01,115.2,0.056,473.6,0.1,0,0,0.097,0.058,0,0.03,1.3,0.4,0.1,15,0,0.2,0.109,0.056
artichokes,100g,Carbohydrates,47,2.721,0.165,8.658,5.4,2.13,15,1,1,21,3,0.122,1.45,60,7.348,3.135,59.79,95,0.945,343,1.322,6.7,94,14,0.194,0.079,0.1,0.138,1.848,0.507,0.076,5.3,3.945,0.68,29.5,64.78,0.67
arugula,100g,Carbohydrates,165,6.496,3.898,25.984,13,0.4,50,1,1,65,0,0.072,0.3,36,0.095,0.015,36.9,10.4,0.057,582,0.029,0.011,14,0,0.015,0.055,0,0.053,0.07,0.035,0.044,3,0,0.043,0.067,18.3,0.091
asadero cheese,100g,Protein,402,80.401,8.933,0,0,3.2,30,1,1,746.9,118.7,0.067,0.6,29.4,0.024,9.1,808.175,500.6,1,97.2,20.3,0.096,0.7,0.098,0.034,0.005,0.043,0.3,0.2,0.3,0.024,0,0.071,0.3,0.02,0.048,3.4
asian pear,100g,Carbohydrates,151,2.341,1.171,32.775,3,8.6,16,1,1,120,0,0.067,0,88,0.01,0.091,27.8,13.4,0.091,462,0.009,0.015,429,0,0.1,0.071,0,0.073,0.3,0.05,0.079,4.6,0,0.1,0.059,0.108,0.041
asparagus,100g,Carbohydrates,20,1.733,0.157,2.914,2.1,1.88,15,1,1,24,0,0.189,2.14,14,7.348,0,79.1,52,0.05,202,0.04,2.3,2,38,0.143,0.079,0,0.141,0.978,0.507,0.091,5.6,3.945,1.13,41.6,93.22,0.54
asparagus (green),100g,Carbohydrates,192,0,0,48,7,1.88,23,1,1,97,0,0.189,2.14,57,7.348,0,21.22,52,0.05,181,0.04,2.3,355,38,0.143,0.079,0,0.141,0.978,0.507,0.091,5.6,3.945,1.13,41.6,0.093,0.54
asparagus (white),100g,Carbohydrates,85,0,0,21.25,5,1.88,26,1,1,127,0,0.189,2.14,38,7.348,0,27.49,52,0.05,246,0.04,2.3,16,38,0.143,0.079,0,0.141,0.978,0.507,0.091,5.6,3.945,1.13,41.6,0.093,0.54
asparagus canned,100g,Carbohydrates,62,5.982,0.566,8.245,4.1,4.1,30,1,1,61.7,0,0.4,2.5,37,0.6,0.015,154.4,156.2,0.3,706.9,0.2,0.025,0.1,0,0.2,0.3,0,0.4,3.5,0.5,0.4,67.8,0,1.2,0.2,0.388,1.9
asparagus cooked,100g,Carbohydrates,3,0.257,0.048,0.386,0.3,0.2,0,1,1,0.099,0,3.5,0.031,0.1,2.1,0,1.458,0.063,0.063,8.1,0.004,33.6,0,0,0,0.065,0.036,0,0.025,0.2,0.036,0.022,1.2,0,0.2,13.9,0.049
asparagus raw,100g,Carbohydrates,2,0.17,0.021,0.283,0.3,0.2,0,1,1,0.088,0,2.9,0.039,0.3,1.7,0,1.326,0.068,0.083,6.2,0.012,24.2,0.047,0,0,0.073,0.064,0,0.061,0.1,0.004,0.067,0.7,0,0.1,11.2,0.058
aspartame sweetener,100g,Carbohydrates,365,2.199,0,89.051,0,80.7,65,0,1,0,0,0,0.022,0,0,0,91.381,0,0,4,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0.068
atlantic croaker fried,100g,Protein,192,16.085,11.198,6.719,0.3,0,40,1,1,27.8,73.1,0.096,0.7,36.5,0.079,4.6,62.209,188.8,2.5,295.8,3,0.038,0.3,0.004,0.006,0.044,0.032,0.1,3.7,0.6,0.2,0,0,0,0,52,0.5
atlantic croaker raw,100g,Protein,82,14.624,2.611,0,0,0,0,1,1,11.9,48.2,0.065,0.3,31.6,0.017,0.9,28.709,165.9,0.4,272.6,0.9,0.053,0.014,0.039,0.079,0.028,0.066,0.038,3.3,0.6,0.2,0,0.005,1,0.068,61.6,0.3
"atole (corn-based beverage, mexico)",100g,Protein,120,23.999,2.667,0,11,0.19,33,1,1,151,0,0.017,0.49,92,4.058,0.046,43.41,11,0.098,268,0.026,1.2,208,1,0.052,0.081,0,0.041,0.529,1.874,0.019,0,0.474,0.01,0,0.089,0.09
au jus,100g,Carbohydrates,38,2.707,0.483,5.705,0,0,40,1,1,9.4,0,0.2,1.4,4.7,0.5,0.2,22.4,70.8,0.048,191.2,0.2,0.02,1.1,0,0.04,0.045,0.032,0.1,2.1,0.076,0.023,2.4,0,0,0,0.223,2.4
avocado,100g,Fat,160,1.788,13.408,8.045,7,1.8,15,1,1,12,0,32.4,0.5,29,78.3,26.5,87.302,0.4,4.9,485,5.7,1309.5,7,0,0,0.2,0.2,0,0.4,4.7,3.8,0.7,27,0,5.6,0.198,0.052
avocado oil,100g,Fat,120,0,13.333,0,0,0,0,1,1,0,0,0,0,0,0,9.9,14,0,1.9,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azumaya tofu vitasoy,100g,Protein,316,32.697,16.548,9.071,2.4,1.6,30,1,1,711,0,0,5.1,0,0,4.7,777,0,9.9,0,2,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.332,0
baba ganoush,100g,Fat,150,1.923,11.538,9.615,4,3.963,10,1,1,30,39.069,2.67,1.455,20,2.115,7.485,13.56,147.754,4.689,210,6.559,18.204,180,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,48.487,1.417
"baba ghanoush (eggplant spread, various middle eastern countries)",100g,Protein,136,11.014,9.577,1.437,1,1.639,12,1,1,72,143.253,5.56,2.725,34,4.058,6.872,40.68,273.205,2.819,364,5.983,41.361,518,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
babassu oil,100g,Fat,900,0,100,0,0,0,0,1,1,0,0,0,0,0,0,24.9,218,0,3.5,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0,41.6,0,0,0
baby carrots,100g,Carbohydrates,5,0.029,0.049,1.111,0.4,0.7,40,1,1,4.8,0,0.089,0.1,1.5,0.001,0.043,6.999,4.2,0.002,35.6,0.015,0.081,0.097,0,0.002,0.035,0,0.035,0.095,0.09,0.092,0.4,0,0,0.053,13.6,0.025
baby corn,100g,Carbohydrates,67,5.518,0.788,9.459,4,54,50,1,1,163,0,0.225,0.63,85,7.348,5.557,44.69,94,2.638,399,12.1,2.5,166,0,0.058,0.079,0.06,0.121,1.251,0.507,0.042,0,3.945,0.93,2.3,6.99,0.72
baby lima beans cooked,100g,Carbohydrates,189,11.782,0.491,34.364,10.8,2.5,30,1,1,0.06,0,50.4,0.4,3.5,100.8,0.06,58.952,1.5,0.3,201.6,0.1,739.8,0.064,0,0,0.1,0.003,0,0.097,1.4,0.3,0.2,10.4,0,1.2,0.13,0.079
baby zucchini,100g,Protein,2,0.187,0.056,0.187,0.1,0,0,1,1,2.3,0,0.019,0.098,3.6,0.035,0.047,6.89,10.2,0.006,50.5,0.02,0.057,0.041,0,0.06,0.035,0,0.092,0.063,0.052,0.009,3.8,0,0,0,10.2,0.084
bacon,100g,Fat,106,3.306,10.219,0.2,0,0.2,0,1,1,1,0,0.08,0.1,3.1,0.077,0,14.8,46.8,0,131.6,0,0,0.1,0,0,0,0.069,0,0,0,0,0,0,0.1,0,11.7,0.3
bacon baked,100g,Fat,44,2.933,3.54,0.101,0,0,0,1,1,0.047,8.7,0.8,0.054,0.1,2.4,1.5,6.673,0.078,0.4,41,1.1,43.7,0.2,0,0.052,0.09,0.095,0.053,0.058,0.9,0.077,0.084,0,0,0.038,1,0.003
bacon beef steak,100g,Fat,146,8.194,12.491,0.2,0,0.2,0,1,1,4,28.9,0.039,0.5,4.8,0.064,6.2,25.4,40.2,1.2,109,4.5,0.02,0.4,0,0.2,0.077,0.054,0.09,1.4,0.3,0.1,0,0,0,0.091,6.1,0.9
bacon cooked,100g,Protein,43,3.569,3.161,0.069,0,0,0,1,1,0,10.1,1.2,0.047,0.1,3.1,1.4,6.747,0.071,0.5,35.4,1.1,47.8,0.2,0.053,0,0.031,0,0.037,0.066,1,0.1,0.047,0,0,0.009,1.9,0.064
bacon grease,100g,Fat,39,0,4.333,0,0,0,0,1,1,0,4.1,0,0,0,0,1.9,4.3,0,0.5,0,1.7,0,0.009,0,0,0,0,0,0,0,0,0,0.063,0.081,0,0,0.031
bacon meatless,100g,Protein,446,89.2,9.911,0,3.7,0,30,1,1,33.1,0,0.2,3.5,27.4,0.3,10.2,107.3,100.8,22.2,244.8,6.7,0.004,2.1,0,6.3,0.047,0,0.7,10.9,0.2,0.7,0,0,9.9,0,0.07,0.6
bacon ranch salad mcdonalds,100g,Protein,389,29.471,21.081,20.347,3.2,4.9,40,1,1,146.7,70.2,0,1.9,0,0,7.9,250.3,0,5.2,0,5.2,0,0.9,0,0.2,0,0,0.2,9.6,1.8,0,30.9,0,0,0,0.247,0
bacon roasted,100g,Fat,43,3.064,3.371,0.102,0,0,0,1,1,0.097,8.8,0.9,0.096,0.1,2.6,1.5,6.516,0.003,0.4,42.6,1.1,45.2,0.034,0,0.037,0.05,0.007,0.081,0.015,0.9,0.051,0.09,0,0.002,0.039,1,0.09
bacon tomato dressing,100g,Fat,49,0.293,5.184,0.293,0.04,0.3,0,1,1,0.6,0.6,0.013,0.057,0.9,0,1.3,7.942,3.8,2.9,16.2,0.8,0.009,0.1,0.064,0.083,0,0.035,0.091,0.1,0,0.033,1.3,0,0.6,0.031,8.8,0.045
bagel,100g,Carbohydrates,245,9.996,1.499,47.88,4,6,70,1,1,0.019,0,19.6,0.2,2.7,50,0.3,63.783,1.4,0.9,139.2,0,161.7,0.4,0,0,0.4,0.068,0,0.2,3.3,0.4,0.1,0,0,0.3,36.8,0.099
bagel chips,100g,Fat,789,44.798,54.961,0.241,7.2,10.5,70,1,1,42,0,0.3,8.8,68.3,1.2,10.6,222.2,229.3,3.6,245,12,0.03,0.4,0,0.9,0.2,0,0.6,13.4,0.8,0.2,0,0,1.4,0.031,0,1.8
bagel with ham egg cheese,100g,Protein,483,90.001,9.999,0,0.4,7,70,1,1,185.3,242.6,0.4,4.1,40.1,0.4,5.7,287.6,397.3,3.3,261.7,7.9,0.098,1.3,0.2,0.7,0.1,0.048,0.6,6,1.4,0.1,0,0.001,1.2,0.018,0,2.4
baigan masala,100g,Carbohydrates,130,1.857,7.429,13.929,5,6.993,20,1,1,35,4.178,10.219,1.479,24,7.348,1.557,21.48,81.581,1.174,410,1.031,56.024,370,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.132,0.727
baingan bharta,100g,Carbohydrates,160,3.265,9.796,14.694,7,6.993,25,1,1,25,4.178,10.219,1.479,25,7.348,1.557,20.64,81.581,1.174,250,1.031,56.024,400,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,72.245,0.727
"bajra (pearl millet, india)",100g,Carbohydrates,110,1.789,2.683,19.674,4,6.993,18,1,1,17,4.178,10.219,1.479,13,7.348,1.557,21.53,81.581,1.174,198,1.031,56.024,412,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,73.666,0.727
baked apple pie mcdonalds,100g,Carbohydrates,91,0.886,4.333,12.114,0.6,4.9,30,1,1,5.4,0,0.03,0.6,2,0.071,2.6,33.3,10.2,0.3,17.8,1.1,0,0.076,0,0.093,0.053,0,0.045,0.7,0.036,0.027,9.1,0,0.5,0,10.5,0
baked beans,100g,Carbohydrates,310,11.089,10.29,43.258,11,0,30,1,1,0,10,122,0.3,4,86,4.3,76.2,0.5,1.5,218,3.9,716,0.8,0,0,0.3,0.031,0,0.036,0.8,0.3,0.2,2.2,0,0,0.13,0.052
baked beans canned,100g,Carbohydrates,239,10.659,0.793,47.307,10.4,20.2,30,1,1,86.4,0,0.4,3,68.6,0.3,0.2,166.5,188,0.3,569,0.2,0.082,0.9,0,0.2,0.036,0,0.078,1.1,0.5,0.2,0,0,0.4,0.019,0.183,5.8
baked chicken,100g,Protein,165,32.999,3.667,0,0,8.23,0,1,1,13,7,0.171,1.4,26,4.058,0.222,39.27,88,0.4,393,0.231,4.8,75,1,0.031,0.081,0,0.014,0.289,1.874,0.048,0,0.474,0.04,0.4,0.071,0.51
baked chips lays,100g,Fat,130,0,14.444,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baked potato,100g,Carbohydrates,161,4.186,0.195,35.626,3.8,2,55,1,1,0.057,0,26,0.2,1.9,48.4,0.086,45.667,0.4,0.1,121.1,0.074,925.6,0.097,0,0,0.1,0.001,0,0.056,2.4,0.7,0.5,16.6,0,0.034,0.13,0.028
baked potato with cheese sauce,100g,Carbohydrates,474,13.766,27.061,43.845,0,0,55,1,1,310.8,17.8,0.6,3,65.1,0.5,10.7,429.9,319.7,6,1166.2,10.6,0.042,0.4,0.3,0.2,0.078,0.01,0.2,3.3,1.3,0.7,26,0,0,0,0.195,1.9
baked potato with cheese sauce bacon,100g,Carbohydrates,451,17.135,24.119,41.347,0,0,55,1,1,308,29.9,0.6,3.1,68.8,0.5,9.7,428.7,346.8,4.8,1178.1,10.1,0.01,1,0.2,0.3,0.011,0.007,0.2,4,1.3,0.7,28.7,0,0,0,0.194,2.2
baked potato with sour cream,100g,Carbohydrates,393,6.159,20.5,45.965,0,0,55,1,1,105.7,24.2,0.7,3.1,69.5,0.6,7.9,221.8,184.2,3.3,1383.2,10,0.088,0.2,0.2,0.3,0.086,0.009,0.2,3.7,1.5,0.8,33.8,0,0,0,0.21,0.9
baked taco shell,100g,Carbohydrates,61,0.804,2.713,8.341,0.9,0.2,40,1,1,12.5,0,0.043,0.2,11.1,0.092,0.8,25.4,30.4,0.9,30.1,0.8,0.097,0.004,0,0.09,0.038,0,0.048,0.2,0,0.089,0,0,0.094,0.069,0.8,0.2
bakers yeast,100g,Carbohydrates,18,1.217,0.261,2.696,1.4,0,40,1,1,3.2,0,0.024,0.6,6.8,0.02,0.2,10.078,57.1,0.079,102.2,0.089,0.073,0.066,0,0.3,0.1,0,0.2,2.1,0.8,0.005,0.04,0,0,0,11.7,1.7
bakers yeast dry,100g,Protein,13,1.342,0.252,1.342,1.1,0,40,1,1,1.2,0,0.016,0.051,2.2,0.048,0.2,5.927,25.5,0.069,38.2,0.078,0.006,0.081,0,0.4,0.002,0.014,0.2,1.6,0.5,0.008,0.038,0,0,0.088,0.2,0.3
baking chocolate,100g,Fat,145,2.878,11.824,6.768,4.8,0.3,40,1,1,29.3,0,0.9,5,94.8,1.2,4.7,66.7,116,0.5,240.7,9.4,0.072,0.049,0,0.023,0.098,0,0.002,0.4,0.088,0.015,0,0,0.1,0.097,0.4,2.8
baking powder,100g,Carbohydrates,2,0,0,0.5,0.03,0,40,1,1,270.3,0,0.077,0.5,1.2,0.074,0,272.196,100.8,0,0.9,0,0.004,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.091
baking soda,100g,Protein,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.018,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0
balsamic vinegar,100g,Carbohydrates,14,0.052,0,3.448,0,2.4,40,1,1,4.3,0,0.074,0.1,1.9,0.046,0,7.129,3,0,17.9,0,0,0.071,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0.033
bambara groundnuts (various african countries),100g,Fat,190,2.096,19.559,1.397,4,3.963,10,1,1,322,39.069,2.67,1.455,274,2.115,7.485,13.45,147.754,4.689,270,6.559,18.204,54,41.78,0.17,0.724,0.346,0.183,1.937,0.485,0.177,4.532,0.46,1.942,12.119,48.487,1.417
bamboo rice (various asian countries),100g,Carbohydrates,140,12.613,3.784,13.874,15,6.993,17,1,1,190,4.178,10.219,1.479,92,7.348,1.557,52.81,81.581,1.174,103,1.031,56.024,284,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,69.73,0.727
bamboo shoots,100g,Carbohydrates,78,0,0,19.5,4,1.84,38,1,1,200,2,0.111,0.31,57,7.348,0.943,38.15,25,0.95,221,0.812,0.5,37,12,0.024,0.079,0,0.026,0.136,0.507,0.148,1,3.945,0.91,2.4,0.092,0.63
bamboo shoots cooked,100g,Carbohydrates,14,1.319,0.22,1.686,1.2,0,40,1,1,0,0,14.4,0.083,0.3,3.6,0.059,5.76,0.1,0.1,24,0.007,639.6,0.04,0,0,0.067,0.071,0,0.051,0.4,0.068,0.1,0,0,0,0.115,0.046
bamboo shoots raw,100g,Carbohydrates,49,3.782,0.402,7.563,4,5.4,40,1,1,0,0,23.4,0.3,0.9,5.4,0.054,19.3,0.5,0.2,106.2,0.1,959.4,0.067,0,0,0.3,0.087,0,0.1,1.1,0.3,0.4,7.2,0,1.8,0.164,0.001
banana,100g,Carbohydrates,96,1.075,0.196,22.485,2.6,18.3,51,1,1,5,0,7.5,0.1,27,40.5,0.096,41.084,0.4,0.1,358,0.2,537,1,0,0,0.085,0.045,0,0.1,1,0.5,0.6,13.1,0,0.2,0.112,0.049
banana bread,100g,Carbohydrates,186,2.468,5.924,30.704,0.6,0,55,1,1,12,24.5,0.004,0.8,8,0.1,2.6,54.061,33.1,1.8,76.4,1.3,0.096,0.2,0.068,0.078,0.073,0.035,0.1,0.8,0.2,0.037,1,0,0,0,16.6,0.2
banana chips,100g,Carbohydrates,147,0.667,9.051,15.719,2.2,10,55,1,1,5.1,0,0.031,0.4,21.5,0.4,0.6,36.2,15.8,0.2,151.7,8.2,0.06,0.099,0,0.003,0.041,0,0.03,0.2,0.2,0.032,1.8,0,0.042,0.057,1.2,0.2
banana cream pie,100g,Protein,900,98.955,0.305,0.739,8.3,0.143,55,0,1,889.5,604.9,0.6,12.3,189.8,1.8,67.8,1533.5,1091.1,39,1956.9,44.6,0.1,2.8,0.7,1.6,0.3,0.006,2.5,12.5,4.6,1.6,19,0.009,4.7,0.069,0,5.7
banana pepper,100g,Carbohydrates,9,0.446,0.089,1.604,1.1,0.6,55,1,1,4.6,0,0.058,0.2,5.6,0.028,0.073,35.6,10.6,0.098,84.5,0.018,0.032,0.039,0,0.04,0.082,0,0.064,0.4,0.098,0.1,27.3,0,0.2,0.033,30.3,0.097
baobab fruit powder (various african countries),100g,Carbohydrates,109,6.759,4.225,10.984,3,6.993,25,1,1,165,4.178,10.219,1.479,100,7.348,1.557,32.03,81.581,1.174,348,1.031,56.024,360,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,74.392,0.727
barbecue loaf,100g,Protein,40,3.75,2.083,1.562,0,0,40,1,1,12.7,8.5,0.029,0.3,3.9,0.089,1,20.1,30.4,0.2,75.7,0.7,0.009,0.3,0,0.042,0.038,0.039,0.086,0.5,0.4,0.07,0,0.099,0,0,14.9,0.6
barbecue sauce,100g,Carbohydrates,29,0.1,0.1,6.924,0.2,5.7,40,1,1,5.6,0,0.042,0.1,2.2,0.038,0.047,13.1,3.4,0.064,39.4,0.009,0.044,0.2,0,0.064,0.037,0,0.086,0.1,0.005,0.035,0.1,0,0.1,0.027,9.3,0.038
barbecue sauce bulls eye,100g,Carbohydrates,27,0.1,0.1,6.424,0.2,5.6,40,1,1,6.9,0,0.075,0.1,2.6,0.071,0.019,13.891,3.5,0.033,42.1,0.028,0,0.2,0,0.003,0,0,0.085,0.1,0.053,0.05,0.094,0,0.1,0,8.8,0.041
barbecue sauce kraft,100g,Carbohydrates,28,0.104,0.055,6.772,0.032,5.2,40,1,1,7.5,0,0.011,0.1,2.4,0.093,0.095,14.388,3,0.005,39.5,0.013,0,0.2,0,0.069,0,0,0.001,0.073,0.09,0.002,0.031,0,0.1,0,8.7,0.006
barbecue sauce mcdonalds,100g,Carbohydrates,46,0.404,0.303,10.413,0.4,9.6,40,1,1,3.1,0,0.008,0.1,3.6,0.056,0.069,14.6,8.4,0.1,55.2,0.09,0,0.3,0,0.032,0.076,0,0.025,0.2,0.071,0.088,0,0,0.3,0,16.2,0.097
barbera red wine,100g,Carbohydrates,170,0.746,0,41.754,0,0,40,1,1,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0
barberries,100g,Carbohydrates,67,4.885,2.792,5.583,10,6.993,30,1,1,18,4.178,10.219,1.479,10,7.348,1.557,77.78,81.581,1.174,283,1.031,56.024,193,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,75.53,0.727
barley,100g,Carbohydrates,354,0,0,88.5,17.3,0.27,28,1,1,33,4,0.101,1.28,158,7.348,0.74,22.64,53,0.581,452,1.195,8.3,8,23,0.08,0.079,0,0.061,1.991,0.507,0.146,0,3.945,0.28,2.1,0.067,0.79
barley (hulled),100g,Carbohydrates,90,5.056,1.011,15.169,3,0.27,25,1,1,20,4,0.101,1.28,79,7.348,0.74,22.69,53,0.581,116,1.195,8.3,439,23,0.08,0.079,0,0.061,1.991,0.507,0.146,0,3.945,0.28,2.1,67.07,0.79
"barley (hulled, not pearl)",100g,Carbohydrates,76,0,0,19,11,6.993,54,1,1,101,4.178,10.219,1.479,45,7.348,1.557,74.64,81.581,1.174,440,1.031,56.024,140,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
barley (pearl),100g,Carbohydrates,140,9.655,0,25.345,5,0.27,24,1,1,176,4,0.101,1.28,39,7.348,0.74,24.68,53,0.581,229,1.195,8.3,95,23,0.08,0.079,0,0.061,1.991,0.507,0.146,0,3.945,0.28,2.1,65,0.79
barley cooked,100g,Carbohydrates,193,3.42,0.684,43.291,6,0.4,55,1,1,17.3,0,0.2,2.1,34.5,0.4,0.039,73.9,84.8,0.3,146,0.1,0.073,0.064,0,0.1,0.008,0,0.037,3.2,0.2,0.2,0,0,0.098,0.057,0.108,1.3
barley flakes,100g,Carbohydrates,108,3.541,1.77,19.475,7,0.27,51,1,1,123,4,0.101,1.28,40,7.348,0.74,29.63,53,0.581,227,1.195,8.3,16,23,0.08,0.079,0,0.061,1.991,0.507,0.146,0,3.945,0.28,2.1,67.07,0.79
barley flour,100g,Protein,511,86.063,13.326,0.611,14.9,1.2,55,1,1,47.4,0,0.5,4,142.1,1.5,0.3,194.5,438.1,1.1,457.3,0.5,0.037,0.062,0,0.5,0.021,0,0.2,9.3,0.2,0.6,0,0,0.8,0.069,0,3
barley groats (various european countries),100g,Carbohydrates,110,5,3.334,15,12,6.993,40,1,1,36,4.178,10.219,1.479,69,7.348,1.557,51.21,81.581,1.174,291,1.031,56.024,297,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,72.955,0.727
barley raw,100g,Carbohydrates,42,1.175,0.098,9.105,1.9,0.094,55,1,1,3.5,0,0.059,0.3,9.5,0.2,0.096,16.3,26.5,0.038,33.6,0.041,0.019,0.016,0,0.017,0.002,0,0.096,0.6,0.035,0.034,0,0,0.052,0.061,1.2,0.3
"barley tea (japan, korea)",100g,Carbohydrates,86,0,0,21.5,11,6.993,16,1,1,48,4.178,10.219,1.479,72,7.348,1.557,70.85,81.581,1.174,586,1.031,56.024,380,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,0.076,0.727
bartlett pear,100g,Carbohydrates,112,0.701,0.3,26.624,5.5,17.2,30,1,1,15.9,0,0.1,0.3,10.6,0.091,0,57.1,19.5,0,178.8,0,0.044,0.047,0,0.051,0.023,0,0.018,0.3,0.04,0.01,7.8,0,0.2,0.028,0.149,0.1
basil,100g,Carbohydrates,91,0,0,22.75,9,0.3,46,1,1,180,0,0.385,3.17,51,7.348,0.088,50.53,56,0.389,120,0.041,0.3,472,264,0.034,0.079,0,0.076,0.902,0.507,0.155,18,3.945,0.8,414.8,0.092,0.81
basil dried,100g,Carbohydrates,2,0.178,0.024,0.267,0.3,0.054,0,1,1,0.078,0,15.7,0.082,0.6,5,0.038,1,0.051,0.076,1.9,0.02,18.4,0.089,0,0,0.099,0.043,0,0.012,0.07,0.011,0.047,0.033,0,0.034,0.076,0.054
basil fresh,100g,Protein,2,0.167,0.074,0.167,0.1,0.064,0,1,1,0.047,0,12.4,0.075,0.2,4.5,0.019,0.752,0.069,0.03,3.9,0.069,20.7,0.058,0,0,0.06,0.064,0,0.075,0.094,0.02,0.074,1.3,0,0.014,6.4,0.085
